"Day","Animal","Group","TV"
3,"Control_16","Control",260.683890838518
6,"Control_16","Control",424.16382926161
9,"Control_16","Control",630.133928281549
12,"Control_16","Control",583.832674403135
15,"Control_16","Control",2233.63102093247
18,"Control_16","Control",2091.10343617962
21,"Control_16","Control",2574.19335171435
24,"Control_16","Control",1995.58427322478
27,"Control_16","Control",2351.90636285129
30,"Control_16","Control",4344.70456659517
33,"Control_16","Control",3419.08259816856
36,"Control_16","Control",4825.3552628106
39,"Control_16","Control",5255.60600040078
42,"Control_16","Control",4849.12403732306
45,"Control_16","Control",3466.55879110766
48,"Control_16","Control",3506.47112416677
51,"Control_16","Control",9547.38896989547
54,"Control_16","Control",5524.46742181675
57,"Control_16","Control",5578.80442601445
60,"Control_16","Control",3363.60508848467
0,"Control_17","Control",75.4304581244949
3,"Control_17","Control",188.136548749643
6,"Control_17","Control",253.079000924846
9,"Control_17","Control",603.911349349432
12,"Control_17","Control",484.089516994139
15,"Control_17","Control",1458.21349397268
18,"Control_17","Control",1872.19510566129
21,"Control_17","Control",1722.4189898845
24,"Control_17","Control",1275.56489910118
27,"Control_17","Control",3402.95194256442
30,"Control_17","Control",1284.07540727818
33,"Control_17","Control",3698.05717031667
36,"Control_17","Control",3529.29054106373
39,"Control_17","Control",3629.02803553093
42,"Control_17","Control",6085.95786563512
45,"Control_17","Control",2456.74620512988
48,"Control_17","Control",4683.48787126444
51,"Control_17","Control",3611.74729208599
54,"Control_17","Control",7070.69397500211
57,"Control_17","Control",2717.65080532178
60,"Control_17","Control",4836.63940556451
0,"Control_18","Control",105.994682742018
3,"Control_18","Control",297.087038486774
6,"Control_18","Control",377.351485259731
9,"Control_18","Control",699.80599739099
12,"Control_18","Control",1394.70183631364
15,"Control_18","Control",1086.76154101541
18,"Control_18","Control",1300.81773102114
21,"Control_18","Control",1332.6380943525
24,"Control_18","Control",1537.68534598125
27,"Control_18","Control",1776.84185841587
30,"Control_18","Control",4953.00757411715
33,"Control_18","Control",3857.35881780784
36,"Control_18","Control",3246.92794766312
39,"Control_18","Control",4049.55932482327
42,"Control_18","Control",3987.19908786254
45,"Control_18","Control",4489.464918851
48,"Control_18","Control",5762.4663029548
51,"Control_18","Control",5592.16448479098
54,"Control_18","Control",5830.09062148123
57,"Control_18","Control",3087.95359756268
60,"Control_18","Control",5569.70466077105
0,"Control_19","Control",89.0435123543127
3,"Control_19","Control",147.489833700112
6,"Control_19","Control",222.481869096365
9,"Control_19","Control",334.300431842635
12,"Control_19","Control",702.652000417828
15,"Control_19","Control",1227.26978014846
18,"Control_19","Control",1243.26462386623
21,"Control_19","Control",2725.35382580329
24,"Control_19","Control",4020.85179823045
27,"Control_19","Control",3783.222729149
30,"Control_19","Control",5255.37603752471
33,"Control_19","Control",4150.69007710608
36,"Control_19","Control",6134.45823506181
39,"Control_19","Control",3806.8898381529
42,"Control_19","Control",4033.25204739966
45,"Control_19","Control",3557.010666464
48,"Control_19","Control",5675.95550519795
51,"Control_19","Control",5770.9668868541
54,"Control_19","Control",5872.70578827738
57,"Control_19","Control",6565.49940135851
60,"Control_19","Control",4926.84519648981
0,"Control_20","Control",118.450596845128
3,"Control_20","Control",187.302836724116
6,"Control_20","Control",329.91474216554
9,"Control_20","Control",714.682847785027
12,"Control_20","Control",1115.21411013081
15,"Control_20","Control",1384.60955206234
18,"Control_20","Control",2365.45478742191
21,"Control_20","Control",2478.60608248942
24,"Control_20","Control",1785.4809577018
27,"Control_20","Control",4021.63949095051
30,"Control_20","Control",4072.1621434157
33,"Control_20","Control",3098.65969564855
36,"Control_20","Control",4446.51959060229
39,"Control_20","Control",4056.75059610477
42,"Control_20","Control",5234.57778880004
45,"Control_20","Control",4033.61067302596
48,"Control_20","Control",5779.34940890902
51,"Control_20","Control",4668.1837092331
54,"Control_20","Control",5930.49607467808
57,"Control_20","Control",6681.22292987345
60,"Control_20","Control",5905.09019507208
0,"Therapy_A_1","Therapy_A",126.048140823568
3,"Therapy_A_1","Therapy_A",144.670280546283
6,"Therapy_A_1","Therapy_A",250.714316622661
9,"Therapy_A_1","Therapy_A",619.983905257927
12,"Therapy_A_1","Therapy_A",302.535043938037
15,"Therapy_A_1","Therapy_A",832.195658052928
18,"Therapy_A_1","Therapy_A",486.424247406351
21,"Therapy_A_1","Therapy_A",1070.51888903882
24,"Therapy_A_1","Therapy_A",1067.89367336664
27,"Therapy_A_1","Therapy_A",1663.01166230058
30,"Therapy_A_1","Therapy_A",2252.33140499048
33,"Therapy_A_1","Therapy_A",2430.10186873079
36,"Therapy_A_1","Therapy_A",2086.60992284533
39,"Therapy_A_1","Therapy_A",2744.40675073542
42,"Therapy_A_1","Therapy_A",5556.64507000689
45,"Therapy_A_1","Therapy_A",2934.86863004948
48,"Therapy_A_1","Therapy_A",2965.49860848919
51,"Therapy_A_1","Therapy_A",3307.40536063486
54,"Therapy_A_1","Therapy_A",4020.65383365838
57,"Therapy_A_1","Therapy_A",5223.03118038943
60,"Therapy_A_1","Therapy_A",3502.34084141812
0,"Therapy_A_2","Therapy_A",60.243999926096
3,"Therapy_A_2","Therapy_A",120.558955133217
6,"Therapy_A_2","Therapy_A",174.418675993891
9,"Therapy_A_2","Therapy_A",184.274671624714
12,"Therapy_A_2","Therapy_A",526.685179976161
15,"Therapy_A_2","Therapy_A",542.343153775773
18,"Therapy_A_2","Therapy_A",545.720954492666
21,"Therapy_A_2","Therapy_A",853.187692563865
24,"Therapy_A_2","Therapy_A",574.045834490424
27,"Therapy_A_2","Therapy_A",1347.16179001315
30,"Therapy_A_2","Therapy_A",1704.448513071
33,"Therapy_A_2","Therapy_A",2123.77436001135
36,"Therapy_A_2","Therapy_A",1089.66843732235
39,"Therapy_A_2","Therapy_A",2353.94371573877
42,"Therapy_A_2","Therapy_A",1589.52036376458
45,"Therapy_A_2","Therapy_A",2212.18559426999
48,"Therapy_A_2","Therapy_A",3142.81976268524
51,"Therapy_A_2","Therapy_A",3569.95703498071
54,"Therapy_A_2","Therapy_A",3266.06409334776
57,"Therapy_A_2","Therapy_A",3370.98627273296
60,"Therapy_A_2","Therapy_A",2129.43222954886
0,"Therapy_A_3","Therapy_A",101.808667629033
3,"Therapy_A_3","Therapy_A",212.869313427497
6,"Therapy_A_3","Therapy_A",189.53132014277
9,"Therapy_A_3","Therapy_A",364.615473164939
12,"Therapy_A_3","Therapy_A",565.285972346039
15,"Therapy_A_3","Therapy_A",387.942851144569
18,"Therapy_A_3","Therapy_A",1139.75657150239
21,"Therapy_A_3","Therapy_A",906.764567152397
24,"Therapy_A_3","Therapy_A",831.705064464429
27,"Therapy_A_3","Therapy_A",1236.33218882888
30,"Therapy_A_3","Therapy_A",1531.85842206115
33,"Therapy_A_3","Therapy_A",2912.23972245705
36,"Therapy_A_3","Therapy_A",2921.59812406006
39,"Therapy_A_3","Therapy_A",2383.27163816527
42,"Therapy_A_3","Therapy_A",1778.75319840855
45,"Therapy_A_3","Therapy_A",2588.43621748452
48,"Therapy_A_3","Therapy_A",3049.47232952534
51,"Therapy_A_3","Therapy_A",2460.79130664081
54,"Therapy_A_3","Therapy_A",2492.62588414078
57,"Therapy_A_3","Therapy_A",4041.64047666335
60,"Therapy_A_3","Therapy_A",3093.15108691603
0,"Therapy_A_4","Therapy_A",67.0058955621749
3,"Therapy_A_4","Therapy_A",156.937383415377
6,"Therapy_A_4","Therapy_A",159.565347137785
9,"Therapy_A_4","Therapy_A",185.0805127876
12,"Therapy_A_4","Therapy_A",263.726681647281
15,"Therapy_A_4","Therapy_A",305.523624961014
18,"Therapy_A_4","Therapy_A",582.16368480408
21,"Therapy_A_4","Therapy_A",757.007664291083
24,"Therapy_A_4","Therapy_A",1149.07750002875
27,"Therapy_A_4","Therapy_A",1427.50969781632
30,"Therapy_A_4","Therapy_A",1435.85860545619
33,"Therapy_A_4","Therapy_A",2345.77303790146
36,"Therapy_A_4","Therapy_A",2622.87689115579
39,"Therapy_A_4","Therapy_A",2751.23194887195
42,"Therapy_A_4","Therapy_A",2322.94306624848
45,"Therapy_A_4","Therapy_A",4168.40389069683
48,"Therapy_A_4","Therapy_A",4034.3350525363
51,"Therapy_A_4","Therapy_A",3043.56431114112
54,"Therapy_A_4","Therapy_A",2612.37063201152
57,"Therapy_A_4","Therapy_A",6307.5017232691
60,"Therapy_A_4","Therapy_A",4331.61521269227
0,"Therapy_A_5","Therapy_A",115.51115279455
3,"Therapy_A_5","Therapy_A",110.446868714885
6,"Therapy_A_5","Therapy_A",257.408722237226
9,"Therapy_A_5","Therapy_A",286.700417152286
12,"Therapy_A_5","Therapy_A",567.802453990717
15,"Therapy_A_5","Therapy_A",532.502324321741
18,"Therapy_A_5","Therapy_A",831.356855572915
21,"Therapy_A_5","Therapy_A",898.972068361019
24,"Therapy_A_5","Therapy_A",1191.99113325975
27,"Therapy_A_5","Therapy_A",982.1121920192
30,"Therapy_A_5","Therapy_A",1943.03802768587
33,"Therapy_A_5","Therapy_A",2313.52494188467
36,"Therapy_A_5","Therapy_A",3006.00348641623
39,"Therapy_A_5","Therapy_A",1551.15861882445
42,"Therapy_A_5","Therapy_A",3418.06265024244
45,"Therapy_A_5","Therapy_A",4402.69142605341
48,"Therapy_A_5","Therapy_A",3918.60629202566
51,"Therapy_A_5","Therapy_A",2360.69700714571
54,"Therapy_A_5","Therapy_A",2748.11807651251
57,"Therapy_A_5","Therapy_A",3305.80348866019
60,"Therapy_A_5","Therapy_A",4650.06230816262
0,"Therapy_A_6","Therapy_A",105.238519246791
3,"Therapy_A_6","Therapy_A",180.960092398021
6,"Therapy_A_6","Therapy_A",284.160844930016
9,"Therapy_A_6","Therapy_A",339.820495151708
12,"Therapy_A_6","Therapy_A",253.235719123492
15,"Therapy_A_6","Therapy_A",473.207076263941
18,"Therapy_A_6","Therapy_A",582.106028569628
21,"Therapy_A_6","Therapy_A",1472.47724211853
24,"Therapy_A_6","Therapy_A",1066.86257909155
27,"Therapy_A_6","Therapy_A",1580.35426660396
30,"Therapy_A_6","Therapy_A",2009.93583948762
33,"Therapy_A_6","Therapy_A",2097.74827528429
36,"Therapy_A_6","Therapy_A",2260.22892999893
39,"Therapy_A_6","Therapy_A",2513.08273668684
42,"Therapy_A_6","Therapy_A",1418.53457159516
45,"Therapy_A_6","Therapy_A",2761.92791840607
48,"Therapy_A_6","Therapy_A",2415.53347720274
51,"Therapy_A_6","Therapy_A",4680.24219837544
54,"Therapy_A_6","Therapy_A",4422.91637576352
57,"Therapy_A_6","Therapy_A",3975.91046256894
60,"Therapy_A_6","Therapy_A",2770.96866003246
0,"Therapy_A_7","Therapy_A",95.1199213377913
3,"Therapy_A_7","Therapy_A",83.6078552666688
6,"Therapy_A_7","Therapy_A",297.10856685633
9,"Therapy_A_7","Therapy_A",251.821419374663
12,"Therapy_A_7","Therapy_A",545.205947349427
15,"Therapy_A_7","Therapy_A",401.217359125993
18,"Therapy_A_7","Therapy_A",622.92387449005
21,"Therapy_A_7","Therapy_A",1621.40683824282
24,"Therapy_A_7","Therapy_A",1556.04854196327
27,"Therapy_A_7","Therapy_A",1966.48205316162
30,"Therapy_A_7","Therapy_A",1988.74949728143
33,"Therapy_A_7","Therapy_A",1338.50405626157
36,"Therapy_A_7","Therapy_A",2174.14805681444
39,"Therapy_A_7","Therapy_A",2492.65054356193
42,"Therapy_A_7","Therapy_A",3277.57777958311
45,"Therapy_A_7","Therapy_A",3584.40229514119
48,"Therapy_A_7","Therapy_A",4776.51948119819
51,"Therapy_A_7","Therapy_A",3427.92525851042
54,"Therapy_A_7","Therapy_A",5008.12605122542
57,"Therapy_A_7","Therapy_A",5279.50753720495
60,"Therapy_A_7","Therapy_A",4587.96207488009
0,"Therapy_A_8","Therapy_A",147.250607098861
3,"Therapy_A_8","Therapy_A",245.417696018876
6,"Therapy_A_8","Therapy_A",428.615395862668
9,"Therapy_A_8","Therapy_A",475.003149744709
12,"Therapy_A_8","Therapy_A",522.05289656229
15,"Therapy_A_8","Therapy_A",433.627605316349
18,"Therapy_A_8","Therapy_A",1077.32492412733
21,"Therapy_A_8","Therapy_A",986.84712702106
24,"Therapy_A_8","Therapy_A",1801.94403235603
27,"Therapy_A_8","Therapy_A",1127.04109263263
30,"Therapy_A_8","Therapy_A",2740.60120132748
33,"Therapy_A_8","Therapy_A",1607.3149678225
36,"Therapy_A_8","Therapy_A",1667.96033807326
39,"Therapy_A_8","Therapy_A",1292.87634941884
42,"Therapy_A_8","Therapy_A",2884.32306600009
45,"Therapy_A_8","Therapy_A",2189.40394654771
48,"Therapy_A_8","Therapy_A",5732.98768101685
51,"Therapy_A_8","Therapy_A",4957.51355119234
54,"Therapy_A_8","Therapy_A",6322.82693097177
57,"Therapy_A_8","Therapy_A",4354.30104470624
60,"Therapy_A_8","Therapy_A",4574.56610763996
0,"Therapy_A_9","Therapy_A",142.037189676565
3,"Therapy_A_9","Therapy_A",303.81256697506
6,"Therapy_A_9","Therapy_A",370.709837905069
9,"Therapy_A_9","Therapy_A",364.11542647076
12,"Therapy_A_9","Therapy_A",619.314779829722
15,"Therapy_A_9","Therapy_A",431.008574804254
18,"Therapy_A_9","Therapy_A",784.714793041187
21,"Therapy_A_9","Therapy_A",1235.70523712457
24,"Therapy_A_9","Therapy_A",1765.22460413979
27,"Therapy_A_9","Therapy_A",1717.14841000287
30,"Therapy_A_9","Therapy_A",3143.86861572689
33,"Therapy_A_9","Therapy_A",2791.37705160655
36,"Therapy_A_9","Therapy_A",1927.42449371488
39,"Therapy_A_9","Therapy_A",2716.60379721838
42,"Therapy_A_9","Therapy_A",3288.3400154862
45,"Therapy_A_9","Therapy_A",3268.96800916578
48,"Therapy_A_9","Therapy_A",3669.20884356566
51,"Therapy_A_9","Therapy_A",4086.8972270934
54,"Therapy_A_9","Therapy_A",2728.36598908655
57,"Therapy_A_9","Therapy_A",5442.15380933387
60,"Therapy_A_9","Therapy_A",6388.40524065844
0,"Therapy_A_10","Therapy_A",70.3905024513538
3,"Therapy_A_10","Therapy_A",121.211435908912
6,"Therapy_A_10","Therapy_A",204.468768785055
9,"Therapy_A_10","Therapy_A",339.320442707843
12,"Therapy_A_10","Therapy_A",276.138830833529
15,"Therapy_A_10","Therapy_A",366.866162358915
18,"Therapy_A_10","Therapy_A",597.735525046076
21,"Therapy_A_10","Therapy_A",568.175984821653
24,"Therapy_A_10","Therapy_A",978.432144891781
27,"Therapy_A_10","Therapy_A",1372.78642891638
30,"Therapy_A_10","Therapy_A",1497.29430384861
33,"Therapy_A_10","Therapy_A",1179.52397905063
36,"Therapy_A_10","Therapy_A",3037.57329805519
39,"Therapy_A_10","Therapy_A",3067.33913825234
42,"Therapy_A_10","Therapy_A",2632.3607822572
45,"Therapy_A_10","Therapy_A",4128.54230821324
48,"Therapy_A_10","Therapy_A",5716.86603066735
51,"Therapy_A_10","Therapy_A",4239.9410162208
54,"Therapy_A_10","Therapy_A",3284.27628020169
57,"Therapy_A_10","Therapy_A",3791.7880476339
60,"Therapy_A_10","Therapy_A",4344.01305782977
0,"Therapy_A_11","Therapy_A",77.4991539249129
3,"Therapy_A_11","Therapy_A",164.563307537578
6,"Therapy_A_11","Therapy_A",275.653871110358
9,"Therapy_A_11","Therapy_A",247.086803661473
12,"Therapy_A_11","Therapy_A",406.810735290232
15,"Therapy_A_11","Therapy_A",871.106630795494
18,"Therapy_A_11","Therapy_A",636.605677386437
21,"Therapy_A_11","Therapy_A",648.761993099342
24,"Therapy_A_11","Therapy_A",973.235552315232
27,"Therapy_A_11","Therapy_A",1411.55948308204
30,"Therapy_A_11","Therapy_A",1780.72316030893
33,"Therapy_A_11","Therapy_A",2114.8822033326
36,"Therapy_A_11","Therapy_A",1770.44597110477
39,"Therapy_A_11","Therapy_A",1974.85214390435
42,"Therapy_A_11","Therapy_A",1886.27926389011
45,"Therapy_A_11","Therapy_A",2997.48834568953
48,"Therapy_A_11","Therapy_A",3508.47896261451
51,"Therapy_A_11","Therapy_A",3947.26635099662
