"Day","Animal","Group","TV"
6,"Control_7","Control",110.498525109915
9,"Control_7","Control",141.994785576165
12,"Control_7","Control",201.044964423902
15,"Control_7","Control",363.121067218965
18,"Control_7","Control",515.063765922323
21,"Control_7","Control",702.338166670386
24,"Control_7","Control",525.441171419908
0,"Control_8","Control",112.571667003831
3,"Control_8","Control",162.071328660078
6,"Control_8","Control",222.0111620004
9,"Control_8","Control",422.658936487719
12,"Control_8","Control",637.139359669039
15,"Control_8","Control",982.810869535769
18,"Control_8","Control",1092.5215831675
21,"Control_8","Control",1163.99281629027
24,"Control_8","Control",1323.89816820619
0,"Control_9","Control",70.2149616914533
3,"Control_9","Control",51.9323837392278
6,"Control_9","Control",39.1265469473188
9,"Control_9","Control",54.8983589633558
12,"Control_9","Control",96.8274518699973
15,"Control_9","Control",82.2650484483281
18,"Control_9","Control",83.8126178246174
21,"Control_9","Control",102.104001597764
24,"Control_9","Control",181.775645473846
0,"Control_10","Control",118.001398771009
3,"Control_10","Control",126.065268550879
6,"Control_10","Control",121.491701774261
9,"Control_10","Control",171.224699658514
12,"Control_10","Control",278.939221432438
15,"Control_10","Control",766.312094717558
18,"Control_10","Control",914.96091112542
21,"Control_10","Control",1183.77174438627
24,"Control_10","Control",1445.63694554456
0,"Control_11","Control",81.9457870225709
3,"Control_11","Control",106.689605151048
6,"Control_11","Control",102.1203483584
9,"Control_11","Control",110.692967799171
12,"Control_11","Control",126.780259386315
15,"Control_11","Control",147.610038359214
18,"Control_11","Control",232.141213976874
21,"Control_11","Control",153.310610890487
24,"Control_11","Control",156.712508975547
0,"Control_12","Control",132.637072412675
3,"Control_12","Control",144.622356379549
6,"Control_12","Control",199.098917741334
9,"Control_12","Control",200.269924903779
12,"Control_12","Control",288.83715400938
15,"Control_12","Control",214.137033577827
18,"Control_12","Control",251.890526722274
21,"Control_12","Control",216.873004361561
24,"Control_12","Control",284.459211684561
0,"Control_13","Control",113.72313511719
3,"Control_13","Control",92.0790338653901
6,"Control_13","Control",198.187877233543
9,"Control_13","Control",230.435231062669
12,"Control_13","Control",356.590394212393
15,"Control_13","Control",605.670472701032
18,"Control_13","Control",1283.14535705957
21,"Control_13","Control",1720.34214762008
24,"Control_13","Control",947.961066571618
0,"Control_14","Control",125.831208423336
3,"Control_14","Control",182.964954442807
6,"Control_14","Control",265.82263333718
9,"Control_14","Control",327.000820992007
12,"Control_14","Control",478.574279635949
15,"Control_14","Control",549.395981615754
18,"Control_14","Control",870.07414686911
21,"Control_14","Control",679.058908871471
24,"Control_14","Control",923.584910605744
0,"Control_15","Control",107.479286540822
3,"Control_15","Control",184.403645471707
6,"Control_15","Control",260.875158394458
9,"Control_15","Control",300.545850633077
12,"Control_15","Control",425.566632761875
15,"Control_15","Control",842.852654682747
18,"Control_15","Control",1258.35550538747
21,"Control_15","Control",1824.61189205864
24,"Control_15","Control",2474.06497036884
0,"Control_16","Control",82.548694265184
3,"Control_16","Control",98.8089618969815
6,"Control_16","Control",106.778337012124
9,"Control_16","Control",159.589968972078
12,"Control_16","Control",284.134574509661
15,"Control_16","Control",410.606439770661
18,"Control_16","Control",549.437235520432
21,"Control_16","Control",718.99634500494
24,"Control_16","Control",534.056555588703
0,"Control_17","Control",116.721199549668
3,"Control_17","Control",105.725181079296
6,"Control_17","Control",100.665568330359
9,"Control_17","Control",167.263321240126
12,"Control_17","Control",258.746302333366
15,"Control_17","Control",400.674877399082
18,"Control_17","Control",420.647894893016
21,"Control_17","Control",499.394537218524
24,"Control_17","Control",637.135128647272
0,"Control_18","Control",89.9534397204132
3,"Control_18","Control",107.471755682307
6,"Control_18","Control",169.795997964362
9,"Control_18","Control",334.756977714941
12,"Control_18","Control",550.578077244371
15,"Control_18","Control",578.998809317858
18,"Control_18","Control",489.522581651669
21,"Control_18","Control",680.00731223885
24,"Control_18","Control",514.141362474563
0,"Control_19","Control",119.193087185831
3,"Control_19","Control",110.362387263217
6,"Control_19","Control",80.938187168852
9,"Control_19","Control",101.810195466514
12,"Control_19","Control",204.372867699166
15,"Control_19","Control",288.097564608605
18,"Control_19","Control",242.585471774073
21,"Control_19","Control",299.368673769402
24,"Control_19","Control",306.759090039566
0,"Control_20","Control",88.4693277175176
3,"Control_20","Control",94.0193005101842
6,"Control_20","Control",70.9001887086494
9,"Control_20","Control",90.4843470785506
12,"Control_20","Control",130.3898200622
15,"Control_20","Control",147.597650514306
18,"Control_20","Control",154.67865642353
21,"Control_20","Control",158.459777365018
24,"Control_20","Control",179.411805303863
0,"Therapy_A_1","Therapy_A",70.4890292259546
3,"Therapy_A_1","Therapy_A",56.6411992264418
6,"Therapy_A_1","Therapy_A",68.5098550210902
9,"Therapy_A_1","Therapy_A",77.7963557897335
12,"Therapy_A_1","Therapy_A",150.037000340995
15,"Therapy_A_1","Therapy_A",252.461056640846
18,"Therapy_A_1","Therapy_A",468.358442986481
21,"Therapy_A_1","Therapy_A",710.440370544963
24,"Therapy_A_1","Therapy_A",868.245817703843
0,"Therapy_A_2","Therapy_A",105.677872293393
3,"Therapy_A_2","Therapy_A",124.145798382709
6,"Therapy_A_2","Therapy_A",246.732517029993
9,"Therapy_A_2","Therapy_A",489.430946312876
12,"Therapy_A_2","Therapy_A",1090.63892539713
15,"Therapy_A_2","Therapy_A",1367.87396618085
18,"Therapy_A_2","Therapy_A",1246.76203037232
21,"Therapy_A_2","Therapy_A",1307.92563956306
24,"Therapy_A_2","Therapy_A",2047.02563418867
0,"Therapy_A_3","Therapy_A",89.0453189354285
3,"Therapy_A_3","Therapy_A",93.7748841524511
6,"Therapy_A_3","Therapy_A",92.2004181056848
9,"Therapy_A_3","Therapy_A",184.854213080927
12,"Therapy_A_3","Therapy_A",347.148876212709
15,"Therapy_A_3","Therapy_A",555.499811520143
18,"Therapy_A_3","Therapy_A",842.138206669516
21,"Therapy_A_3","Therapy_A",1002.0309006219
24,"Therapy_A_3","Therapy_A",1799.14035827353
0,"Therapy_A_4","Therapy_A",115.241952918094
3,"Therapy_A_4","Therapy_A",161.658209259016
6,"Therapy_A_4","Therapy_A",244.645501464652
9,"Therapy_A_4","Therapy_A",395.056175644432
12,"Therapy_A_4","Therapy_A",859.665200543895
15,"Therapy_A_4","Therapy_A",1290.80464696662
18,"Therapy_A_4","Therapy_A",1489.83045543664
21,"Therapy_A_4","Therapy_A",2839.16396446984
24,"Therapy_A_4","Therapy_A",3212.42235187688
0,"Therapy_A_5","Therapy_A",66.8330862814548
3,"Therapy_A_5","Therapy_A",77.5422777278017
6,"Therapy_A_5","Therapy_A",105.638372986028
9,"Therapy_A_5","Therapy_A",112.222269570103
12,"Therapy_A_5","Therapy_A",222.512237472538
15,"Therapy_A_5","Therapy_A",325.744697007254
18,"Therapy_A_5","Therapy_A",485.990902726442
21,"Therapy_A_5","Therapy_A",620.34203563713
24,"Therapy_A_5","Therapy_A",1170.229072401
0,"Therapy_A_6","Therapy_A",98.424413763857
3,"Therapy_A_6","Therapy_A",145.669297121452
6,"Therapy_A_6","Therapy_A",166.672110527289
9,"Therapy_A_6","Therapy_A",178.781523052644
12,"Therapy_A_6","Therapy_A",375.801109918056
15,"Therapy_A_6","Therapy_A",497.963238446473
18,"Therapy_A_6","Therapy_A",876.319012522183
21,"Therapy_A_6","Therapy_A",2093.39088894662
24,"Therapy_A_6","Therapy_A",3906.0591596687
0,"Therapy_A_7","Therapy_A",81.7448212728902
3,"Therapy_A_7","Therapy_A",98.4645428252962
6,"Therapy_A_7","Therapy_A",139.595048303657
9,"Therapy_A_7","Therapy_A",176.335605638112
12,"Therapy_A_7","Therapy_A",228.416417072216
15,"Therapy_A_7","Therapy_A",222.209164346549
18,"Therapy_A_7","Therapy_A",363.042608182351
21,"Therapy_A_7","Therapy_A",700.632876289567
24,"Therapy_A_7","Therapy_A",739.760119312518
0,"Therapy_A_8","Therapy_A",64.0868007647214
3,"Therapy_A_8","Therapy_A",69.371022240336
6,"Therapy_A_8","Therapy_A",63.108481196851
9,"Therapy_A_8","Therapy_A",119.639073102152
12,"Therapy_A_8","Therapy_A",102.088930543576
15,"Therapy_A_8","Therapy_A",124.653231737879
18,"Therapy_A_8","Therapy_A",215.449006409182
21,"Therapy_A_8","Therapy_A",562.459637715216
24,"Therapy_A_8","Therapy_A",719.309665301558
0,"Therapy_A_9","Therapy_A",176.332388856942
3,"Therapy_A_9","Therapy_A",310.147288527458
6,"Therapy_A_9","Therapy_A",523.292594987521
9,"Therapy_A_9","Therapy_A",713.115129676045
12,"Therapy_A_9","Therapy_A",878.486876848263
15,"Therapy_A_9","Therapy_A",1646.92723988577
18,"Therapy_A_9","Therapy_A",2553.36071661247
21,"Therapy_A_9","Therapy_A",3095.82005771019
24,"Therapy_A_9","Therapy_A",3674.25241037914
0,"Therapy_A_10","Therapy_A",67.0086355307349
3,"Therapy_A_10","Therapy_A",65.2271645868028
6,"Therapy_A_10","Therapy_A",78.13554501551
9,"Therapy_A_10","Therapy_A",89.3524764639533
12,"Therapy_A_10","Therapy_A",175.404863262113
15,"Therapy_A_10","Therapy_A",549.089447889743
18,"Therapy_A_10","Therapy_A",1332.40260580405
21,"Therapy_A_10","Therapy_A",1713.90593778495
24,"Therapy_A_10","Therapy_A",2182.5431595515
0,"Therapy_A_11","Therapy_A",112.041167647223
3,"Therapy_A_11","Therapy_A",147.539233913757
6,"Therapy_A_11","Therapy_A",346.367790183443
9,"Therapy_A_11","Therapy_A",597.059037959601
12,"Therapy_A_11","Therapy_A",1432.98117885708
15,"Therapy_A_11","Therapy_A",1953.77083714785
18,"Therapy_A_11","Therapy_A",2347.5019071682
21,"Therapy_A_11","Therapy_A",3032.77635243401
24,"Therapy_A_11","Therapy_A",6418.50347970092
0,"Therapy_A_12","Therapy_A",122.801332279113
3,"Therapy_A_12","Therapy_A",174.382937007903
6,"Therapy_A_12","Therapy_A",192.820481745118
9,"Therapy_A_12","Therapy_A",283.249194957266
12,"Therapy_A_12","Therapy_A",454.528087929916
15,"Therapy_A_12","Therapy_A",514.055080791994
18,"Therapy_A_12","Therapy_A",784.625375953804
21,"Therapy_A_12","Therapy_A",1412.53607626295
24,"Therapy_A_12","Therapy_A",3865.20481985648
0,"Therapy_A_13","Therapy_A",81.7680617354681
3,"Therapy_A_13","Therapy_A",105.241964004315
6,"Therapy_A_13","Therapy_A",165.011964402194
9,"Therapy_A_13","Therapy_A",238.282032685518
12,"Therapy_A_13","Therapy_A",439.326958440896
15,"Therapy_A_13","Therapy_A",610.885420013063
18,"Therapy_A_13","Therapy_A",795.395019409615
21,"Therapy_A_13","Therapy_A",1880.14914786701
24,"Therapy_A_13","Therapy_A",3036.00432287174
0,"Therapy_A_14","Therapy_A",117.368606928099
3,"Therapy_A_14","Therapy_A",122.219773059605
6,"Therapy_A_14","Therapy_A",184.077675819907
9,"Therapy_A_14","Therapy_A",134.707188863596
12,"Therapy_A_14","Therapy_A",195.71304281261
15,"Therapy_A_14","Therapy_A",182.938181848274
18,"Therapy_A_14","Therapy_A",281.690980133766
21,"Therapy_A_14","Therapy_A",378.042917964786
24,"Therapy_A_14","Therapy_A",587.254499560488
0,"Therapy_A_15","Therapy_A",106.710994151191
3,"Therapy_A_15","Therapy_A",119.969141377095
6,"Therapy_A_15","Therapy_A",124.401267252848
9,"Therapy_A_15","Therapy_A",137.212592633345
12,"Therapy_A_15","Therapy_A",229.608070370774
15,"Therapy_A_15","Therapy_A",392.777809078507
18,"Therapy_A_15","Therapy_A",683.025089668014
21,"Therapy_A_15","Therapy_A",985.594587501526
24,"Therapy_A_15","Therapy_A",1702.9777979726
0,"Therapy_A_16","Therapy_A",71.0448544298546
3,"Therapy_A_16","Therapy_A",83.1099802817741
6,"Therapy_A_16","Therapy_A",63.9721090587446
9,"Therapy_A_16","Therapy_A",79.1297683486027
12,"Therapy_A_16","Therapy_A",90.2586947431444
15,"Therapy_A_16","Therapy_A",109.541157853837
18,"Therapy_A_16","Therapy_A",154.27889094516
21,"Therapy_A_16","Therapy_A",278.271126425582
24,"Therapy_A_16","Therapy_A",375.520640392955
0,"Therapy_A_17","Therapy_A",82.4276702489223
3,"Therapy_A_17","Therapy_A",108.058991021986
6,"Therapy_A_17","Therapy_A",134.749256721135
9,"Therapy_A_17","Therapy_A",122.381299845112
12,"Therapy_A_17","Therapy_A",110.302238757126
15,"Therapy_A_17","Therapy_A",151.014028753265
18,"Therapy_A_17","Therapy_A",246.808197698745
21,"Therapy_A_17","Therapy_A",392.361190193687
24,"Therapy_A_17","Therapy_A",422.144008325126
0,"Therapy_A_18","Therapy_A",109.827556182491
3,"Therapy_A_18","Therapy_A",93.58976353217
6,"Therapy_A_18","Therapy_A",76.4115502992235
9,"Therapy_A_18","Therapy_A",84.9652654740565
12,"Therapy_A_18","Therapy_A",99.1069860896627
15,"Therapy_A_18","Therapy_A",143.575696773378
18,"Therapy_A_18","Therapy_A",142.031683877063
21,"Therapy_A_18","Therapy_A",134.781530522712
24,"Therapy_A_18","Therapy_A",235.002003976033
0,"Therapy_A_19","Therapy_A",61.3581081862153
3,"Therapy_A_19","Therapy_A",58.1872235545785
6,"Therapy_A_19","Therapy_A",55.3191727466513
9,"Therapy_A_19","Therapy_A",61.4466418022451
12,"Therapy_A_19","Therapy_A",113.577088109826
15,"Therapy_A_19","Therapy_A",160.811630057287
18,"Therapy_A_19","Therapy_A",290.805014049091
21,"Therapy_A_19","Therapy_A",401.514341747918
24,"Therapy_A_19","Therapy_A",588.930869424799
0,"Therapy_A_20","Therapy_A",130.673803996877
3,"Therapy_A_20","Therapy_A",155.751074758977
6,"Therapy_A_20","Therapy_A",156.320079629655
9,"Therapy_A_20","Therapy_A",168.799070051905
12,"Therapy_A_20","Therapy_A",253.786187768924
15,"Therapy_A_20","Therapy_A",509.883428400638
18,"Therapy_A_20","Therapy_A",474.723206751639
21,"Therapy_A_20","Therapy_A",744.098896413395
24,"Therapy_A_20","Therapy_A",1081.54572857266
0,"Therapy_B_1","Therapy_B",151.140259271562
3,"Therapy_B_1","Therapy_B",121.702105083758
6,"Therapy_B_1","Therapy_B",180.603694305712
9,"Therapy_B_1","Therapy_B",303.656817049833
12,"Therapy_B_1","Therapy_B",388.425355791228
15,"Therapy_B_1","Therapy_B",300.104880089819
18,"Therapy_B_1","Therapy_B",332.162677714964
21,"Therapy_B_1","Therapy_B",376.277747038002
24,"Therapy_B_1","Therapy_B",604.423940436771
0,"Therapy_B_2","Therapy_B",105.238519246791
3,"Therapy_B_2","Therapy_B",127.827659416629
6,"Therapy_B_2","Therapy_B",115.693671222262
9,"Therapy_B_2","Therapy_B",148.98529917647
12,"Therapy_B_2","Therapy_B",130.97667665765
15,"Therapy_B_2","Therapy_B",181.380302394023
18,"Therapy_B_2","Therapy_B",264.104108807557
21,"Therapy_B_2","Therapy_B",364.592133626413
24,"Therapy_B_2","Therapy_B",251.913033328264
0,"Therapy_B_3","Therapy_B",82.3175809688691
3,"Therapy_B_3","Therapy_B",83.829797609129
6,"Therapy_B_3","Therapy_B",69.3580948987137
9,"Therapy_B_3","Therapy_B",65.11600802972
12,"Therapy_B_3","Therapy_B",164.189339802674
15,"Therapy_B_3","Therapy_B",163.514917839231
18,"Therapy_B_3","Therapy_B",160.147813631696
21,"Therapy_B_3","Therapy_B",232.495334840856
24,"Therapy_B_3","Therapy_B",332.171212975751
0,"Therapy_B_4","Therapy_B",99.1760129223388
3,"Therapy_B_4","Therapy_B",102.815113200543
6,"Therapy_B_4","Therapy_B",176.583333218783
9,"Therapy_B_4","Therapy_B",267.159073973364
12,"Therapy_B_4","Therapy_B",452.588935794918
15,"Therapy_B_4","Therapy_B",601.688242477739
18,"Therapy_B_4","Therapy_B",661.037384937005
21,"Therapy_B_4","Therapy_B",726.570879919105
24,"Therapy_B_4","Therapy_B",1058.28190434924
0,"Therapy_B_5","Therapy_B",132.668563885845
3,"Therapy_B_5","Therapy_B",177.488995417319
6,"Therapy_B_5","Therapy_B",253.536345621615
9,"Therapy_B_5","Therapy_B",281.159011927827
12,"Therapy_B_5","Therapy_B",269.78227719927
15,"Therapy_B_5","Therapy_B",338.827188032697
18,"Therapy_B_5","Therapy_B",478.619608370814
21,"Therapy_B_5","Therapy_B",941.908749571817
24,"Therapy_B_5","Therapy_B",1515.66908356835
0,"Therapy_B_6","Therapy_B",136.648259316406
3,"Therapy_B_6","Therapy_B",99.7341728693309
6,"Therapy_B_6","Therapy_B",181.683999443494
9,"Therapy_B_6","Therapy_B",271.937538695539
12,"Therapy_B_6","Therapy_B",565.71853206851
15,"Therapy_B_6","Therapy_B",751.231611328854
18,"Therapy_B_6","Therapy_B",991.553574102478
21,"Therapy_B_6","Therapy_B",1441.2837767039
24,"Therapy_B_6","Therapy_B",2588.6674629425
0,"Therapy_B_7","Therapy_B",96.9969292614693
3,"Therapy_B_7","Therapy_B",118.989041564284
6,"Therapy_B_7","Therapy_B",204.878207861607
9,"Therapy_B_7","Therapy_B",343.3481541967
12,"Therapy_B_7","Therapy_B",536.284628875114
15,"Therapy_B_7","Therapy_B",660.950770745559
18,"Therapy_B_7","Therapy_B",1117.19163516305
21,"Therapy_B_7","Therapy_B",907.556449385705
24,"Therapy_B_7","Therapy_B",1008.22756876053
0,"Therapy_B_8","Therapy_B",96.6072766684667
3,"Therapy_B_8","Therapy_B",120.450063838741
6,"Therapy_B_8","Therapy_B",142.511760230239
9,"Therapy_B_8","Therapy_B",195.81011386259
12,"Therapy_B_8","Therapy_B",283.042150904165
15,"Therapy_B_8","Therapy_B",271.043184672807
18,"Therapy_B_8","Therapy_B",444.340054928716
21,"Therapy_B_8","Therapy_B",658.195212224713
24,"Therapy_B_8","Therapy_B",751.533684916218
0,"Therapy_B_9","Therapy_B",93.6170168116386
3,"Therapy_B_9","Therapy_B",80.3815790637459
6,"Therapy_B_9","Therapy_B",92.7942101932658
9,"Therapy_B_9","Therapy_B",122.674815117034
12,"Therapy_B_9","Therapy_B",115.28734119009
15,"Therapy_B_9","Therapy_B",200.505753951304
18,"Therapy_B_9","Therapy_B",342.828614345357
21,"Therapy_B_9","Therapy_B",422.50404085589
24,"Therapy_B_9","Therapy_B",729.987391414596
0,"Therapy_B_10","Therapy_B",166.140811990841
3,"Therapy_B_10","Therapy_B",178.074760369627
6,"Therapy_B_10","Therapy_B",232.897991731374
9,"Therapy_B_10","Therapy_B",257.222291945672
12,"Therapy_B_10","Therapy_B",461.376394395419
15,"Therapy_B_10","Therapy_B",476.007402915684
18,"Therapy_B_10","Therapy_B",657.03221351924
21,"Therapy_B_10","Therapy_B",613.21132419141
24,"Therapy_B_10","Therapy_B",664.935900474498
0,"Therapy_B_11","Therapy_B",124.5472836836
3,"Therapy_B_11","Therapy_B",164.551694477191
6,"Therapy_B_11","Therapy_B",212.908458405271
9,"Therapy_B_11","Therapy_B",293.6320249678
12,"Therapy_B_11","Therapy_B",217.337073793538
15,"Therapy_B_11","Therapy_B",255.012382982818
18,"Therapy_B_11","Therapy_B",306.198302053474
21,"Therapy_B_11","Therapy_B",505.82534247702
24,"Therapy_B_11","Therapy_B",568.877496631303
0,"Therapy_B_12","Therapy_B",64.3474195851674
3,"Therapy_B_12","Therapy_B",82.5065859396903
6,"Therapy_B_12","Therapy_B",109.101264355653
9,"Therapy_B_12","Therapy_B",114.285615665965
12,"Therapy_B_12","Therapy_B",222.355939546482
15,"Therapy_B_12","Therapy_B",247.497469194037
18,"Therapy_B_12","Therapy_B",192.710365479582
21,"Therapy_B_12","Therapy_B",335.366418653071
24,"Therapy_B_12","Therapy_B",369.341234105146
0,"Therapy_B_13","Therapy_B",66.4513457755373
3,"Therapy_B_13","Therapy_B",74.012837307099
6,"Therapy_B_13","Therapy_B",127.86056347331
9,"Therapy_B_13","Therapy_B",108.595633028722
12,"Therapy_B_13","Therapy_B",122.830850237711
15,"Therapy_B_13","Therapy_B",177.51273221753
18,"Therapy_B_13","Therapy_B",282.695676975161
21,"Therapy_B_13","Therapy_B",361.918846090024
24,"Therapy_B_13","Therapy_B",648.203821905569
0,"Therapy_B_14","Therapy_B",107.142921254368
3,"Therapy_B_14","Therapy_B",99.3111874951963
6,"Therapy_B_14","Therapy_B",114.753112420872
9,"Therapy_B_14","Therapy_B",135.779122864856
12,"Therapy_B_14","Therapy_B",164.818981611532
15,"Therapy_B_14","Therapy_B",127.982729346616
18,"Therapy_B_14","Therapy_B",184.081694586606
21,"Therapy_B_14","Therapy_B",210.28200316344
24,"Therapy_B_14","Therapy_B",320.89879234948
0,"Therapy_B_15","Therapy_B",97.1922761712174
3,"Therapy_B_15","Therapy_B",143.113019568967
6,"Therapy_B_15","Therapy_B",163.651976938848
9,"Therapy_B_15","Therapy_B",250.333401390651
12,"Therapy_B_15","Therapy_B",232.646579865676
15,"Therapy_B_15","Therapy_B",314.886687080499
18,"Therapy_B_15","Therapy_B",488.10957801099
21,"Therapy_B_15","Therapy_B",758.828723462895
24,"Therapy_B_15","Therapy_B",1210.57390740319
0,"Therapy_B_16","Therapy_B",104.811392186805
3,"Therapy_B_16","Therapy_B",136.101887967553
6,"Therapy_B_16","Therapy_B",192.102581114872
9,"Therapy_B_16","Therapy_B",187.590105447301
12,"Therapy_B_16","Therapy_B",236.154281011598
15,"Therapy_B_16","Therapy_B",255.614616785369
18,"Therapy_B_16","Therapy_B",272.606709829322
21,"Therapy_B_16","Therapy_B",296.578201157579
24,"Therapy_B_16","Therapy_B",314.927805296362
0,"Therapy_B_17","Therapy_B",82.8407712614314
3,"Therapy_B_17","Therapy_B",206.854152966939
6,"Therapy_B_17","Therapy_B",360.334531797109
9,"Therapy_B_17","Therapy_B",669.174023588568
12,"Therapy_B_17","Therapy_B",920.026119749652
15,"Therapy_B_17","Therapy_B",1668.8370052031
18,"Therapy_B_17","Therapy_B",2074.07347039237
21,"Therapy_B_17","Therapy_B",3204.6289481513
24,"Therapy_B_17","Therapy_B",4965.40464697275
0,"Therapy_B_18","Therapy_B",74.2051685853095
3,"Therapy_B_18","Therapy_B",70.3126455869155
6,"Therapy_B_18","Therapy_B",86.6439277963415
9,"Therapy_B_18","Therapy_B",97.3831277552158
12,"Therapy_B_18","Therapy_B",125.26459348704
15,"Therapy_B_18","Therapy_B",183.702601695502
18,"Therapy_B_18","Therapy_B",252.79190422226
21,"Therapy_B_18","Therapy_B",505.802178687315
24,"Therapy_B_18","Therapy_B",524.165212900878
0,"Therapy_B_19","Therapy_B",138.981761496251
3,"Therapy_B_19","Therapy_B",216.363029239501
6,"Therapy_B_19","Therapy_B",310.179305984445
9,"Therapy_B_19","Therapy_B",423.610899346546
12,"Therapy_B_19","Therapy_B",402.698323322537
15,"Therapy_B_19","Therapy_B",454.677881844691
18,"Therapy_B_19","Therapy_B",274.138661992753
21,"Therapy_B_19","Therapy_B",445.487716546911
24,"Therapy_B_19","Therapy_B",515.425273674574
0,"Therapy_B_20","Therapy_B",110.826106349077
3,"Therapy_B_20","Therapy_B",119.341147259805
6,"Therapy_B_20","Therapy_B",136.984205125708
9,"Therapy_B_20","Therapy_B",367.038596281123
12,"Therapy_B_20","Therapy_B",372.21823041953
15,"Therapy_B_20","Therapy_B",726.571223491134
18,"Therapy_B_20","Therapy_B",989.337000113485
21,"Therapy_B_20","Therapy_B",1165.85945366781
24,"Therapy_B_20","Therapy_B",1444.31408691913
0,"Therapy_Combo_AB_1","Therapy_Combo_AB",95.7915524489054
3,"Therapy_Combo_AB_1","Therapy_Combo_AB",113.804132437724
6,"Therapy_Combo_AB_1","Therapy_Combo_AB",155.865587575139
9,"Therapy_Combo_AB_1","Therapy_Combo_AB",265.217061230678
12,"Therapy_Combo_AB_1","Therapy_Combo_AB",378.819565026298
15,"Therapy_Combo_AB_1","Therapy_Combo_AB",434.598133182793
18,"Therapy_Combo_AB_1","Therapy_Combo_AB",475.519532821687
21,"Therapy_Combo_AB_1","Therapy_Combo_AB",357.573809681415
24,"Therapy_Combo_AB_1","Therapy_Combo_AB",417.233020646808
0,"Therapy_Combo_AB_2","Therapy_Combo_AB",113.249998796787
3,"Therapy_Combo_AB_2","Therapy_Combo_AB",101.850944073514
6,"Therapy_Combo_AB_2","Therapy_Combo_AB",112.403465065021
9,"Therapy_Combo_AB_2","Therapy_Combo_AB",191.611017099268
12,"Therapy_Combo_AB_2","Therapy_Combo_AB",173.102053583804
15,"Therapy_Combo_AB_2","Therapy_Combo_AB",167.517780427453
18,"Therapy_Combo_AB_2","Therapy_Combo_AB",268.191960476968
21,"Therapy_Combo_AB_2","Therapy_Combo_AB",338.866797579428
24,"Therapy_Combo_AB_2","Therapy_Combo_AB",544.992803336589
0,"Therapy_Combo_AB_3","Therapy_Combo_AB",101.815116476074
3,"Therapy_Combo_AB_3","Therapy_Combo_AB",111.048166284278
6,"Therapy_Combo_AB_3","Therapy_Combo_AB",113.495256691105
9,"Therapy_Combo_AB_3","Therapy_Combo_AB",154.399493126486
12,"Therapy_Combo_AB_3","Therapy_Combo_AB",100.045934796204
15,"Therapy_Combo_AB_3","Therapy_Combo_AB",140.169025849355
18,"Therapy_Combo_AB_3","Therapy_Combo_AB",220.84893742064
21,"Therapy_Combo_AB_3","Therapy_Combo_AB",295.602366617852
24,"Therapy_Combo_AB_3","Therapy_Combo_AB",467.743887952221
0,"Therapy_Combo_AB_4","Therapy_Combo_AB",114.992418359117
3,"Therapy_Combo_AB_4","Therapy_Combo_AB",166.529028504161
6,"Therapy_Combo_AB_4","Therapy_Combo_AB",167.120428983824
9,"Therapy_Combo_AB_4","Therapy_Combo_AB",160.532540508856
12,"Therapy_Combo_AB_4","Therapy_Combo_AB",157.181342739173
15,"Therapy_Combo_AB_4","Therapy_Combo_AB",159.013975411577
18,"Therapy_Combo_AB_4","Therapy_Combo_AB",143.974447712431
